firstDate,lastDate,RDC-ChambreEnfants_CO2_GAS_CONCENTRATIONppm<>Avg,RDC-ChambreParents_CO2_GAS_CONCENTRATIONppm<>Avg,RDC-Séjour_CO2_GAS_CONCENTRATIONppm<>Avg,RDC-ChambreEnfants_Humidité_HUMIDITY%<>Avg,RDC-ChambreParents_Humidité_HUMIDITY%<>Avg,RDC-Séjour_Humidité_HUMIDITY%<>Avg,Technique-Meteo_Humidité_absolue_Abs_humidityg/m3<>Avg,Technique-Meteo_Humidité_relative_Rel_humidity%<>Avg,RDC-ChambreEnfants_Température_TEMPERATURE°C<>Avg,RDC-ChambreParents_Température_TEMPERATURE°C<>Avg,RDC-Séjour_Température_TEMPERATURE°C<>Avg,prev_day_worked,day_worked,next_day_worked
2017-04-29 14:20:00,2017-04-29 14:20:00,1790.0,2550.0,390.0,36.0,39.0,26.0,4.91,25.1,23.2,22.0,23.4,0,1,1
2017-04-29 14:21:00,2017-04-29 14:21:00,1790.0,2550.0,390.0,36.0,39.0,26.0,4.44,22.5,23.2,22.2,23.4,0,1,1
2017-04-29 14:22:00,2017-04-29 14:22:00,1790.0,2550.0,390.0,36.0,39.0,26.0,4.92,26.6,23.2,21.6,23.4,0,1,1
2017-04-29 14:23:00,2017-04-29 14:23:00,1790.0,2550.0,390.0,36.0,39.0,26.0,4.79,26.2,23.2,21.4,23.4,0,1,1
2017-04-29 14:24:00,2017-04-29 14:24:00,1770.0,2550.0,390.0,36.0,39.0,27.0,4.91,27.6,23.2,21.8,23.4,0,1,1
2017-04-29 14:25:00,2017-04-29 14:25:00,1770.0,2550.0,390.0,36.0,38.0,27.0,4.75,26.3,23.2,22.8,23.4,0,1,1
2017-04-29 14:26:00,2017-04-29 14:26:00,1750.0,2550.0,390.0,36.0,39.0,26.0,5.36,29.3,23.0,22.0,23.4,0,1,1
2017-04-29 14:27:00,2017-04-29 14:27:00,1730.0,2550.0,390.0,36.0,39.0,27.0,5.14,26.6,23.0,22.0,23.4,0,1,1
2017-04-29 14:28:00,2017-04-29 14:28:00,1730.0,2550.0,390.0,36.0,39.0,27.0,5.18,25.8,23.0,22.0,23.4,0,1,1
2017-04-29 14:29:00,2017-04-29 14:29:00,1730.0,2550.0,390.0,36.0,38.0,27.0,4.99,25.4,23.2,22.6,23.4,0,1,1
